caseid,person_id,arrest_date,dispos_date,treat
415,10586,2013-02-14,2013-06-03,0
418,16025,2013-10-19,2013-12-31,1
419,19839,2012-09-28,2012-12-10,1
421,18442,2012-12-23,2013-03-26,0
426,2677,2013-01-31,2014-03-14,0
430,14216,2012-05-20,2012-05-29,1
434,19092,2012-12-10,2013-04-22,1
437,17880,2013-03-27,2013-04-12,0
440,11699,2012-01-13,2012-12-06,0
443,2394,2013-08-18,2013-10-03,1
446,1173,2012-06-04,2012-09-20,0
450,17846,2013-09-10,2014-02-12,0
451,7971,2013-07-11,2013-10-09,0
455,16386,2013-06-14,2015-11-11,1
459,1813,2013-10-22,2014-05-29,1
461,5324,2012-05-26,2012-08-26,1
470,3970,2013-09-03,2013-12-21,1
472,12553,2013-08-17,2013-12-23,1
474,11501,2013-10-05,2014-01-21,1
487,12496,2013-04-09,2013-10-11,0
489,467,2012-02-04,2012-07-04,1
490,9738,2013-04-21,2014-04-02,1
498,11392,2013-01-06,2013-01-18,0
501,16908,2013-04-07,2013-08-21,1
502,8548,2012-09-11,2012-11-08,1
506,7591,2012-02-17,2012-11-03,1
513,14956,2013-09-27,2014-12-19,1
518,2439,2012-03-30,2012-04-13,1
524,14725,2013-01-19,2013-07-18,1
525,11616,2012-08-08,2012-09-16,1
535,17074,2013-07-28,2013-08-06,0
544,19734,2013-10-11,2015-02-02,1
545,13300,2012-06-10,2012-06-19,0
546,4905,2013-03-09,2014-01-18,1
549,2366,2013-02-19,2013-03-13,1
551,15768,2013-03-30,2013-09-09,0
558,3027,2013-06-02,2014-09-28,0
563,19010,2012-05-11,2012-10-23,0
565,5202,2012-05-07,2014-04-04,1
568,9473,2013-08-28,2013-09-10,0
576,16913,2012-11-18,2013-03-29,0
577,4629,2012-02-04,2013-06-02,0
578,513,2012-01-26,2012-04-11,0
581,16279,2013-10-08,2014-08-13,1
582,18289,2012-12-10,2013-01-21,0
584,10241,2012-08-26,2013-08-05,1
586,19049,2013-03-12,2013-05-27,0
588,569,2012-08-06,2012-09-20,0
591,18157,2012-04-03,2013-12-14,1
592,4257,2012-07-04,2012-07-16,1
595,9390,2012-12-17,2013-05-04,1
604,11999,2012-09-13,2012-11-06,1
609,5517,2012-10-03,2014-11-06,1
615,11404,2013-02-16,2013-07-31,0
616,167,2013-01-29,2013-04-08,0
617,2810,2012-01-07,2012-06-03,0
623,1045,2012-09-24,2013-01-22,0
626,5502,2012-10-01,2012-11-14,0
628,1727,2012-01-22,2013-06-09,1
630,1324,2012-12-02,2013-01-23,1
635,9673,2013-01-15,2013-04-23,1
637,6275,2013-04-19,2013-10-14,1
641,1077,2012-10-17,2013-07-02,1
642,11707,2012-08-14,2012-11-29,1
646,273,2013-03-25,2013-07-26,0
652,7793,2012-06-16,2013-08-04,1
655,104,2013-08-21,2014-01-24,0
660,8995,2013-10-26,2014-04-20,0
662,17090,2012-11-21,2013-03-07,1
665,15509,2012-05-19,2012-08-30,1
668,11416,2012-11-18,2015-05-21,1
669,5223,2013-08-29,2013-10-04,0
671,10093,2012-04-27,2012-05-14,1
675,2171,2013-10-08,2014-02-10,0
679,2064,2012-04-23,2012-05-03,1
681,4392,2013-02-14,2013-09-23,1
682,592,2012-11-16,2013-05-11,1
685,15977,2013-05-21,2013-07-23,0
686,7381,2012-02-28,2012-07-12,0
687,9939,2012-11-09,2013-01-22,1
688,868,2013-02-15,2014-07-30,0
689,16089,2013-05-01,2013-07-03,0
690,19008,2012-12-13,2013-02-22,0
691,8155,2013-04-17,2013-08-31,0
692,19005,2013-07-25,2014-02-07,0
694,11215,2012-04-08,2012-08-31,1
695,18600,2013-01-25,2013-07-07,1
698,8245,2012-01-02,2012-01-23,1
703,14425,2012-09-20,2013-03-05,0
704,959,2012-02-01,2012-11-29,1
706,5913,2012-02-12,2012-05-08,0
712,12538,2012-09-20,2012-11-25,1
728,14110,2012-11-26,2012-12-19,0
732,6729,2012-05-16,2013-06-02,1
733,11880,2013-07-27,2013-08-22,0
737,4281,2013-08-19,2013-09-20,0
741,19657,2012-08-01,2014-09-20,0
749,18964,2012-09-27,2013-11-17,1
756,18124,2013-01-05,2013-04-01,0
759,18782,2013-08-11,2013-11-17,1
762,13910,2013-05-29,2013-10-18,1
770,14888,2013-09-21,2013-12-24,1
772,3691,2013-08-29,2013-11-18,0
773,4185,2012-07-29,2014-01-26,1
775,19143,2012-05-20,2013-04-20,0
778,15963,2012-04-14,2012-08-06,1
779,2040,2012-09-21,2013-02-06,0
785,17856,2013-01-02,2013-11-05,1
788,5860,2013-06-22,2013-10-08,1
790,19494,2013-04-07,2013-06-21,1
792,14199,2012-02-08,2015-04-22,0
794,2836,2012-06-05,2013-03-06,0
797,19108,2012-02-21,2012-03-03,1
805,1656,2012-08-30,2012-12-21,1
815,16748,2013-01-19,2013-05-27,0
817,14526,2013-09-17,2014-08-12,0
827,17339,2012-02-25,2012-06-20,0
829,18022,2012-03-16,2012-03-18,1
833,19620,2013-04-08,2013-09-12,0
835,233,2012-12-07,2013-06-16,0
837,4184,2013-08-17,2013-08-30,0
838,6251,2013-10-20,2016-01-20,0
840,202,2012-09-08,2012-09-24,0
849,1692,2012-06-03,2012-12-07,1
854,12447,2012-04-13,2013-03-18,0
855,8856,2012-08-05,2012-09-14,1
860,6881,2012-05-18,2012-06-05,0
861,18567,2012-01-17,2012-02-12,1
863,18501,2012-12-13,2013-02-22,0
864,9314,2012-04-10,2012-09-16,0
865,8763,2012-10-03,2012-12-17,0
868,15161,2012-06-28,2013-10-09,1
876,7944,2012-06-01,2012-08-24,0
880,8475,2012-01-02,2012-01-26,1
884,1168,2013-08-01,2013-08-21,1
887,15786,2012-04-03,2012-05-09,1
891,15474,2012-09-26,2013-05-02,0
892,12501,2013-04-19,2013-04-27,0
893,14780,2012-05-30,2012-06-18,1
895,7155,2012-09-08,2012-09-27,1
897,14451,2012-04-14,2013-09-03,0
902,6787,2013-08-28,2013-10-25,1
904,3249,2012-03-23,2012-04-10,1
912,757,2012-09-11,2013-07-24,0
914,15973,2013-04-11,2013-06-22,0
920,1195,2012-08-29,2012-10-12,0
925,18056,2013-07-19,2013-07-26,0
931,485,2013-05-16,2014-04-03,1
932,14902,2012-02-08,2014-05-01,0
936,17352,2012-05-29,2012-06-10,0
939,9363,2013-02-13,2013-05-13,1
969,19992,2012-06-09,2012-07-09,0
973,18606,2012-06-28,2013-01-22,0
976,2967,2012-02-23,2013-03-27,1
977,1445,2013-04-29,2013-06-25,1
978,16935,2013-03-27,2013-05-01,0
983,14462,2012-05-24,2013-01-23,0
985,16338,2012-08-03,2012-09-06,1
992,19116,2013-03-13,2013-04-16,1
993,15360,2012-03-21,2012-10-14,0
994,11165,2012-01-09,2012-09-14,0
999,11378,2012-01-26,2012-10-10,0
1008,6795,2013-08-23,2014-05-14,0
1009,17813,2013-03-04,2014-04-11,0
1010,691,2013-10-20,2013-10-24,0
1011,10157,2012-02-09,2012-05-26,1
1015,11224,2012-07-10,2013-04-11,1
1016,19380,2013-02-23,2013-06-05,1
1019,5717,2012-09-28,2012-11-02,0
1025,14128,2012-01-09,2012-02-26,0
1026,18475,2012-03-07,2012-04-01,0
1027,19213,2013-10-02,2014-04-17,1
1033,2541,2012-03-14,2012-04-12,1
1036,10444,2012-06-30,2013-09-07,0
1038,5424,2013-04-25,2013-05-18,1
1040,12010,2013-05-20,2013-09-15,1
1043,2005,2012-10-19,2012-10-31,1
1045,2539,2012-09-12,2012-10-18,1
1050,13073,2013-03-24,2013-06-02,1
1057,7136,2012-03-02,2012-06-01,1
1058,11080,2012-05-09,2012-07-29,0
1059,2463,2013-05-11,2013-07-16,1
1063,19614,2013-02-07,2013-03-31,0
1066,12273,2013-09-13,2013-11-25,1
1079,16554,2013-06-12,2014-01-23,1
1080,1775,2012-08-02,2013-01-28,0
1081,13994,2013-09-22,2013-11-19,1
1084,702,2013-09-19,2013-10-03,0
1091,997,2013-04-29,2015-03-20,0
1092,10893,2012-02-02,2013-01-05,0
1096,14179,2012-02-04,2014-03-04,0
1100,14059,2013-09-08,2013-11-17,0
1105,2751,2013-09-30,2014-01-23,1
1106,17063,2013-10-12,2015-09-22,1
1107,2743,2013-03-17,2013-08-13,0
1108,7768,2013-07-26,2013-12-07,0
1109,2576,2012-06-30,2014-10-21,1
1112,13842,2013-02-23,2013-12-14,1
1118,15593,2012-04-29,2012-09-29,1
1128,14385,2013-01-04,2014-12-29,0
1131,18134,2012-11-25,2014-10-17,1
1146,13987,2013-03-24,2013-04-28,1
1150,1489,2013-02-10,2013-08-13,0
1152,10455,2012-05-26,2012-08-26,0
1158,5332,2012-12-03,2013-10-12,0
1163,5261,2012-03-20,2012-04-10,0
1166,11753,2012-07-30,2013-02-18,1
1170,18993,2013-10-18,2014-04-23,1
1183,8719,2013-01-31,2015-06-12,1
1186,16992,2013-02-11,2013-05-17,1
1197,3417,2012-12-03,2013-01-02,0
1199,18883,2012-02-03,2012-02-07,0
1207,9227,2013-08-20,2014-08-08,0
1210,5322,2013-08-17,2014-05-01,1
1211,7927,2013-10-25,2014-05-02,1
1214,18066,2012-10-30,2013-02-05,1
1217,14052,2012-08-13,2012-09-07,1
1219,10216,2012-12-11,2013-05-29,1
1220,19930,2012-12-14,2013-05-07,1
1226,13533,2013-06-29,2014-11-26,0
1241,8202,2013-10-03,2014-04-17,1
1249,18107,2013-09-30,2013-11-08,1
1250,6186,2013-09-02,2014-09-11,1
1252,4724,2013-07-19,2014-02-14,0
1259,7181,2013-01-16,2013-03-21,1
1261,12320,2012-06-05,2013-04-23,1
1262,4823,2013-04-09,2013-11-01,0
1272,2277,2012-11-21,2013-02-28,0
1277,9307,2013-06-04,2013-07-27,0
1280,10018,2012-01-22,2012-02-07,0
1283,10780,2013-06-17,2014-01-03,1
1287,5806,2012-08-19,2012-10-27,1
1289,10681,2013-03-15,2013-03-16,1
1296,2023,2012-09-30,2013-09-18,0
1297,14967,2012-06-02,2012-06-06,0
1302,9863,2013-01-08,2013-07-31,1
1310,12463,2012-01-15,2012-08-06,0
1312,14062,2012-01-09,2013-03-13,1
1314,2551,2013-07-03,2014-05-29,1
1327,8630,2012-06-07,2012-09-02,0
1328,17760,2013-09-04,2014-06-12,1
1332,8894,2013-09-09,2014-07-26,0
1339,1634,2012-05-29,2013-04-24,1
1342,12335,2012-12-14,2014-01-09,0
1347,16678,2013-04-29,2014-03-29,1
1348,7361,2012-04-17,2012-10-22,0
1367,2043,2012-05-10,2012-11-28,0
1374,9346,2013-02-28,2015-03-15,1
1389,9316,2012-08-23,2012-10-12,0
1390,19327,2012-10-15,2012-10-17,1
1393,7223,2013-10-09,2015-05-07,1
1394,11637,2013-03-15,2014-01-02,1
1396,2709,2013-07-29,2013-09-15,1
1402,18832,2012-04-23,2012-08-31,0
1407,1781,2013-07-12,2013-08-17,0
1409,1688,2013-10-28,2013-12-07,1
1417,1295,2013-09-04,2017-06-20,1
1424,1570,2012-02-12,2012-08-16,0
1425,1916,2012-05-02,2012-10-17,0
1427,16860,2012-04-13,2012-12-23,0
1429,10607,2013-04-03,2013-05-05,1
1435,11407,2013-06-11,2016-01-16,1
1436,9395,2012-03-25,2012-05-01,0
1442,5100,2013-09-16,2013-10-05,0
1450,17148,2013-04-21,2013-07-17,1
1457,17563,2012-12-01,2013-05-19,1
1463,16021,2012-05-08,2012-08-29,1
1464,15737,2012-06-18,2012-10-02,0
1469,14237,2013-05-11,2013-07-31,1
1474,16896,2013-10-15,2013-12-27,1
1476,14106,2013-01-12,2013-04-24,1
1478,3273,2013-10-16,2013-10-17,1
1494,12494,2013-10-24,2013-10-29,1
1496,7000,2013-10-09,2013-12-07,0
1503,14552,2012-09-20,2012-09-21,1
1504,11667,2013-02-04,2013-04-18,1
1507,2389,2012-06-27,2012-11-28,1
1508,3587,2012-09-21,2013-08-01,0
1513,509,2013-04-25,2013-09-09,0
1516,7980,2012-04-20,2012-09-04,0
1518,8450,2013-03-28,2013-07-26,1
1520,3722,2012-11-28,2013-09-22,1
1522,14232,2013-03-15,2013-10-16,1
1524,5638,2013-02-27,2013-07-23,1
1525,6977,2013-03-22,2013-04-25,1
1530,13174,2012-07-27,2013-02-13,1
1531,13489,2012-09-10,2014-06-04,1
1540,15690,2012-08-18,2015-05-28,1
1541,18957,2012-08-15,2012-09-14,0
1551,16659,2012-08-30,2013-05-30,0
1555,18347,2013-09-04,2014-01-12,1
1556,19956,2012-07-04,2013-08-06,1
1562,4736,2013-06-20,2014-06-15,1
1568,14151,2012-11-01,2013-08-29,1
1573,6334,2012-04-30,2012-08-04,1
1579,16734,2013-07-13,2013-09-11,0
1586,10532,2013-09-01,2014-03-28,0
1591,14796,2012-08-16,2013-10-05,0
1596,5672,2012-08-01,2012-12-23,1
1598,6018,2013-01-06,2013-05-09,1
1599,7371,2013-07-14,2014-08-24,1
1601,2065,2013-04-16,2015-09-04,0
1602,14991,2013-08-25,2013-09-21,1
1603,1649,2012-04-08,2013-02-03,1
1606,340,2012-03-27,2012-03-31,0
1610,11013,2012-03-21,2012-04-22,0
1621,3840,2013-07-11,2014-02-04,1
1632,11651,2013-07-11,2014-01-01,1
1636,12314,2013-09-09,2015-12-05,1
1649,14850,2012-01-11,2012-05-16,1
1650,14768,2013-06-26,2013-07-23,1
1652,5046,2013-10-25,2014-01-31,1
1658,8525,2013-01-28,2013-03-14,0
1660,8867,2012-03-16,2012-06-25,0
1663,9051,2012-05-13,2013-02-23,0
1667,3880,2012-04-06,2013-04-05,1
1674,12109,2013-10-08,2013-12-17,1
1685,17046,2013-03-13,2013-09-20,1
1690,2419,2013-04-22,2013-12-31,1
1694,16524,2013-03-17,2013-05-20,1
1698,2741,2012-02-15,2012-09-25,0
1706,4387,2012-11-21,2013-01-19,0
1709,19569,2013-04-27,2014-07-02,1
1710,14843,2013-03-03,2014-03-14,1
1711,516,2012-10-20,2013-01-29,1
1713,7999,2012-09-07,2013-05-18,0
1714,2244,2013-05-15,2013-11-20,0
1719,13669,2013-01-08,2013-09-02,0
1723,14960,2012-08-17,2013-12-01,0
1731,6461,2013-02-10,2013-11-25,0
1732,3111,2012-03-09,2012-06-03,1
1736,750,2013-08-24,2013-09-16,1
1737,1082,2012-07-02,2013-04-05,1
1746,3282,2012-04-10,2012-10-03,0
1747,5364,2012-03-28,2012-04-30,0
1753,14234,2012-08-05,2012-11-12,1
1754,12398,2012-06-27,2012-11-19,0
1756,13733,2013-04-29,2016-07-07,1
1758,10205,2012-05-25,2012-05-29,1
1764,10169,2013-03-04,2013-11-10,1
1769,245,2012-07-23,2012-11-02,0
1770,12646,2012-02-13,2012-03-08,1
1771,11350,2013-09-08,2014-01-25,1
1774,5595,2013-02-01,2013-07-29,0
1779,9277,2013-09-26,2013-12-20,0
1780,14326,2012-06-22,2013-04-23,0
1783,323,2013-05-13,2013-09-30,0
1788,3433,2012-05-18,2012-06-01,1
1790,9075,2013-01-12,2014-08-14,0
1805,3480,2012-05-15,2013-06-02,1
1809,8307,2013-10-09,2014-04-10,1
1815,11409,2012-01-05,2014-01-12,0
1816,13963,2013-02-22,2013-03-18,1
1817,17729,2012-09-19,2014-01-30,1
1821,6169,2012-04-18,2013-05-06,1
1822,3062,2013-01-30,2013-12-12,0
1823,2141,2013-09-20,2013-11-25,0
1825,4794,2012-03-13,2012-05-31,0
1827,18407,2012-07-31,2012-08-08,1
1828,170,2012-03-03,2012-03-16,0
1830,13190,2012-10-24,2014-04-08,1
1832,18096,2013-02-13,2013-10-15,1
1834,11362,2013-02-07,2013-05-12,0
1841,18694,2013-01-31,2013-05-10,1
1843,14826,2012-01-12,2012-05-07,1
1846,10602,2013-06-29,2013-08-28,1
1855,16651,2013-09-02,2014-03-12,0
1856,4652,2012-03-30,2012-04-09,1
1865,17118,2012-01-21,2012-04-04,0
1870,13015,2012-04-24,2012-10-22,0
1880,5353,2012-08-17,2012-08-22,0
1881,2882,2012-07-17,2013-10-21,1
1882,4785,2013-10-05,2014-06-02,1
1883,11695,2013-10-09,2013-11-07,1
1884,2461,2013-03-31,2014-10-11,0
1887,9278,2013-03-09,2013-08-08,0
1891,6353,2013-03-31,2013-06-12,0
1893,14344,2012-07-07,2012-08-24,0
1900,17753,2012-12-23,2013-05-04,1
1903,8880,2012-07-28,2012-09-01,0
1906,1979,2012-02-25,2013-01-09,1
1909,6854,2013-03-11,2013-04-28,0
1916,8920,2012-08-14,2013-07-05,1
1918,6667,2013-08-26,2013-10-20,1
1926,4970,2013-04-12,2013-12-29,0
1928,727,2013-07-23,2013-10-06,0
1934,8432,2012-12-23,2013-02-20,1
1942,5406,2013-09-07,2015-06-12,1
1943,8234,2013-03-10,2013-03-28,1
1944,14465,2012-09-27,2012-10-01,1
1945,556,2012-01-04,2012-07-07,1
1946,17718,2013-03-01,2015-07-21,1
1949,18360,2013-01-16,2013-06-04,1
1950,9014,2013-06-14,2014-03-13,1
1951,8185,2013-03-12,2013-09-28,1
1952,971,2012-04-17,2013-04-16,1
1957,2923,2013-10-26,2014-06-01,1
1962,17808,2012-12-24,2013-01-21,1
1964,15113,2013-04-10,2013-09-24,0
1967,5956,2013-01-24,2013-08-16,0
1969,4958,2013-05-21,2015-12-08,1
1971,11787,2012-06-29,2013-03-15,0
1973,15206,2012-06-19,2013-01-29,1
1976,3054,2013-08-24,2013-12-24,0
1978,9879,2012-05-30,2012-06-17,0
1982,15791,2012-06-22,2012-07-23,0
1983,7160,2012-07-09,2012-07-10,1
1985,12628,2012-04-07,2014-03-03,1
1990,14568,2013-01-10,2013-01-12,0
1993,10203,2012-06-15,2012-08-01,0
1999,2989,2012-11-19,2013-01-14,0
2001,5269,2012-09-18,2012-10-30,1
2004,19379,2013-08-15,2013-08-25,1
2010,8968,2013-07-07,2014-11-04,0
2014,12526,2012-10-20,2013-01-26,0
2015,11974,2013-03-25,2013-04-24,1
2027,13710,2012-01-04,2012-01-29,1
2028,440,2012-03-17,2012-08-03,1
2034,4435,2012-08-08,2014-06-13,1
2042,6999,2013-04-01,2014-03-24,0
2046,13225,2013-05-30,2014-08-02,1
2048,15407,2012-05-11,2012-07-08,0
2051,10451,2013-05-27,2013-10-06,1
2060,4083,2012-01-04,2012-02-17,0
2066,10790,2013-02-05,2014-01-18,1
2067,13024,2012-03-07,2012-10-19,1
2079,2636,2012-01-02,2012-02-10,0
2082,10949,2013-03-07,2013-04-05,1
2083,12472,2013-09-09,2014-12-02,0
2086,1665,2012-11-13,2012-11-26,0
2091,10897,2012-08-13,2012-12-23,1
2095,16054,2013-02-25,2013-11-25,0
2098,13621,2012-07-13,2013-03-22,1
2099,16095,2012-05-29,2012-06-20,0
2103,18072,2012-03-04,2012-04-19,1
2113,18887,2012-06-02,2012-10-24,0
2116,6143,2012-06-02,2013-02-21,1
2117,18692,2012-10-02,2013-01-19,1
2123,12254,2012-11-01,2013-04-23,0
2125,5197,2012-05-09,2012-10-19,1
2134,13601,2012-12-21,2013-04-10,1
2136,16290,2013-03-24,2013-04-03,1
2138,9379,2012-11-18,2013-04-28,0
2142,10304,2012-12-02,2014-07-24,0
2144,11731,2012-12-19,2013-05-29,1
2159,14981,2012-05-16,2012-07-07,1
2162,8300,2013-06-25,2013-07-14,0
2170,11373,2012-12-05,2013-07-27,1
2174,5028,2013-04-28,2013-06-02,1
2175,12286,2013-04-05,2014-04-01,1
2178,11021,2013-05-13,2013-12-02,1
2185,12742,2013-01-24,2015-01-04,1
2186,1636,2012-01-21,2012-01-24,0
2192,7049,2013-05-23,2014-08-05,0
2193,15913,2012-01-18,2012-01-28,1
2194,3055,2013-06-01,2013-07-07,1
2211,17854,2012-05-17,2012-10-25,0
2212,8525,2013-08-23,2014-07-14,1
2213,14023,2012-02-12,2012-08-19,0
2217,16703,2013-09-19,2015-05-22,1
2219,1403,2012-05-23,2012-09-29,1
2223,19345,2012-08-17,2013-01-15,0
2227,2864,2013-10-04,2013-12-28,1
2230,19997,2012-09-15,2012-10-02,0
2231,16516,2012-07-19,2013-05-07,1
2233,2437,2013-06-06,2013-07-09,0
2235,1325,2012-06-16,2012-11-10,0
2242,12808,2012-03-20,2013-02-14,1
2248,749,2013-07-26,2014-01-05,0
2251,11014,2013-08-04,2013-08-19,0
2254,19109,2013-02-01,2013-09-03,1
2258,10907,2012-02-10,2012-09-10,1
2260,11686,2013-05-16,2013-06-08,1
2264,7730,2012-01-16,2012-01-27,0
2268,3584,2013-03-27,2013-07-11,1
2279,8205,2012-05-08,2012-11-03,0
2282,19538,2013-05-13,2013-11-13,1
2294,19120,2013-04-06,2013-05-17,1
2301,19988,2013-04-25,2014-05-19,0
2306,16333,2013-04-08,2013-10-04,1
2309,286,2012-07-16,2012-07-18,1
2311,15898,2013-03-02,2013-06-04,0
2314,9029,2012-02-09,2012-02-10,0
2325,7905,2012-08-18,2012-09-28,1
2331,5732,2013-03-18,2014-12-28,0
2332,18188,2012-06-13,2012-08-24,0
2340,19154,2012-09-19,2012-10-03,0
2342,12608,2013-10-02,2014-06-30,0
2349,10965,2012-03-04,2012-03-19,1
2369,15511,2012-09-28,2013-04-06,0
2375,9528,2013-04-13,2013-05-18,1
2377,6552,2013-03-27,2014-05-19,0
2380,11735,2012-09-25,2013-10-07,1
2385,19908,2013-04-20,2013-05-10,1
2386,17345,2012-08-29,2012-10-22,0
2393,15651,2013-03-31,2013-05-09,1
2395,3495,2013-04-07,2013-05-03,1
2396,7115,2012-06-05,2012-08-11,1
2405,19789,2012-04-08,2012-07-21,1
2406,1848,2013-07-17,2013-08-15,1
2407,19892,2013-03-19,2013-03-26,0
2413,12979,2012-01-26,2012-10-16,0
2417,15345,2013-03-24,2013-09-10,1
2422,3179,2012-11-21,2012-12-24,1
2427,18096,2013-05-24,2013-06-28,0
2431,18151,2013-06-02,2013-07-06,0
2436,15543,2012-05-28,2012-09-30,1
2443,2993,2013-10-07,2014-01-17,0
2444,16493,2013-09-15,2014-08-25,1
2445,12776,2013-09-10,2013-10-21,1
2448,1275,2012-02-23,2013-02-20,1
2469,15322,2013-04-26,2014-05-25,0
2477,12317,2012-06-21,2012-11-06,0
2498,10920,2012-10-01,2013-10-30,1
2501,6699,2012-04-22,2012-07-13,1
2507,18651,2012-04-10,2012-08-25,0
2510,16845,2013-08-20,2014-01-01,1
2512,14215,2013-05-12,2013-11-12,0
2515,18425,2013-03-09,2014-01-27,0
2519,11330,2013-08-18,2013-11-23,1
2526,8566,2013-05-21,2013-09-20,1
2528,16696,2013-09-19,2014-12-25,1
2533,6580,2012-11-30,2013-07-27,0
2534,8948,2013-01-03,2013-01-09,0
2541,2364,2012-04-26,2012-06-01,1
2542,19818,2013-08-26,2014-09-06,1
2545,4165,2012-10-08,2012-10-20,0
2547,12701,2012-04-24,2012-06-04,1
2549,13556,2012-03-04,2012-06-04,0
2552,6444,2012-08-19,2012-08-21,1
2553,17718,2013-01-15,2013-06-27,1
2558,12001,2013-03-25,2013-12-19,1
2563,19466,2013-01-29,2014-11-24,1
2564,6740,2012-10-02,2013-07-30,0
2567,18969,2012-06-25,2013-04-23,0
2569,4873,2013-10-15,2013-12-08,1
2571,18516,2013-05-25,2013-10-30,1
2572,403,2013-10-28,2013-12-25,1
2579,11633,2012-08-01,2013-08-14,0
2580,9526,2012-04-24,2012-05-28,1
2592,10842,2012-11-19,2013-10-22,1
2594,7361,2012-12-19,2012-12-29,1
2595,14088,2012-08-15,2012-09-19,0
2596,12134,2013-09-03,2014-01-01,1
2601,9363,2013-06-02,2013-07-26,1
2603,19195,2013-08-25,2014-02-04,0
2606,2432,2012-05-26,2012-12-20,1
2617,85,2012-09-30,2012-11-03,1
2632,6897,2012-08-18,2013-02-10,1
2638,15536,2013-07-06,2013-08-09,1
2641,16592,2013-04-22,2013-12-11,0
2648,12463,2013-07-02,2015-05-01,1
2655,4798,2013-01-23,2013-02-26,0
